token,symbol,name,exch,instrument_type,lot_size,tick_size,updated_at
511692,AJCON,AJCON,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
513349,AJMERA,AJMERA,BSE,,1,0.05,2026-07-05 08:48:17.051738+00
526628,AJWAFUN,AJWAFUN,BSE,,100,0.01,2026-07-05 08:48:17.051738+00
530499,AKCAPIT,AKCAPIT,BSE,,1,0.05,2026-07-05 08:48:17.051738+00
542020,AKI,AKI,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
541303,AKSHAR,AKSHAR,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
524598,AKSHARCHEM,AKSHARCHEM,BSE,,1,0.05,2026-07-05 08:48:17.051738+00
532351,AKSHOPTFBR,AKSHOPTFBR,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
544222,AKUMS,AKUMS,BSE,,1,0.05,2026-07-05 08:48:17.051738+00
531082,ALANKIT,ALANKIT,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
539115,ALANSCOTT,ALANSCOTT,BSE,,1,0.05,2026-07-05 08:48:17.051738+00
524075,ALBERTDAVD,ALBERTDAVD,BSE,,1,0.05,2026-07-05 08:48:17.051738+00
506235,ALEMBICLTD,ALEMBICLTD,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
511463,ALEXANDER,ALEXANDER,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
530973,ALFAICA,ALFAICA,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
517546,ALFATRAN,ALFATRAN,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
531156,ALFAVIO,ALFAVIO,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
538952,ALFL,ALFL,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
505216,ALFREDHE,ALFREDHE,BSE,,1,0.05,2026-07-05 08:48:17.051738+00
505725,ALGOQUANT,ALGOQUANT,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
531147,ALICON,ALICON,BSE,,1,0.05,2026-07-05 08:48:17.051738+00
543322,ALIVUS,ALIVUS,BSE,,1,0.05,2026-07-05 08:48:17.051738+00
533029,ALKALI,ALKALI,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
539523,ALKEM,ALKEM,BSE,,1,0.05,2026-07-05 08:48:17.051738+00
543453,ALKOSIGN,ALKOSIGN,BSE,,1125,0.01,2026-07-05 08:48:17.051738+00
506767,ALKYLAMINE,ALKYLAMINE,BSE,,1,0.05,2026-07-05 08:48:17.051738+00
532749,ALLCARGO,ALLCARGO,BSE,,1,0.01,2026-07-05 08:48:17.051738+00
532633,ALLDIGI,ALLDIGI,BSE,,1,0.05,2026-07-05 08:48:17.051738+00
544479,ALLTIME,ALLTIME,BSE,,1,0.05,2026-07-05 08:48:17.051738+00
